,U.S. Bank N.A.,State Bank and Trust Company,First-Citizens Bank & Trust Company,Ameris Bank,Community & Southern Bank,Stearns Bank N.A.,Centennial Bank,Bank of the Ozarks,Republic Bank of Chicago,"MB Financial Bank, N.A."
AZ,1,0,0,0,0,1,0,0,0,0
CA,5,0,2,0,0,0,0,0,0,0
CO,0,0,2,0,0,0,0,0,0,0
FL,0,0,1,1,0,3,7,1,0,0
GA,0,12,1,9,9,4,0,5,0,0
ID,1,0,0,0,0,0,0,0,0,0
IL,2,0,0,0,0,0,0,0,6,6
MN,0,0,0,0,0,1,0,0,0,0
NJ,0,0,1,0,0,0,0,0,0,0
NM,1,0,0,0,0,0,0,0,0,0
PA,0,0,1,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,1,0,0
TN,1,0,0,0,0,0,0,0,0,0
TX,3,0,0,0,0,0,0,0,0,0
WA,0,0,1,0,0,0,0,0,0,0
WI,0,0,2,0,0,0,0,0,0,0
