Date,Number_of_banks
13-Oct-00,1
14-Dec-00,1
2-Feb-01,1
3-May-01,1
27-Jul-01,1
7-Sep-01,1
11-Jan-02,1
18-Jan-02,1
1-Feb-02,1
7-Feb-02,1
1-Mar-02,1
28-Mar-02,1
26-Jun-02,1
27-Jun-02,1
30-Sep-02,1
8-Nov-02,1
17-Dec-02,1
7-Feb-03,1
9-May-03,1
14-Nov-03,1
14-Feb-04,1
12-Mar-04,1
19-Mar-04,1
25-Jun-04,1
2-Feb-07,1
28-Sep-07,1
4-Oct-07,1
25-Jan-08,1
7-Mar-08,1
9-May-08,1
30-May-08,1
11-Jul-08,1
25-Jul-08,2
1-Aug-08,1
22-Aug-08,1
29-Aug-08,1
5-Sep-08,1
19-Sep-08,1
25-Sep-08,1
10-Oct-08,1
10-Oct-08,1
24-Oct-08,1
31-Oct-08,1
7-Nov-08,1
7-Nov-08,1
21-Nov-08,1
21-Nov-08,2
5-Dec-08,1
12-Dec-08,1
12-Dec-08,1
16-Jan-09,1
16-Jan-09,1
23-Jan-09,1
30-Jan-09,1
30-Jan-09,1
30-Jan-09,1
6-Feb-09,1
6-Feb-09,1
6-Feb-09,1
13-Feb-09,1
13-Feb-09,1
13-Feb-09,1
13-Feb-09,1
20-Feb-09,1
27-Feb-09,1
27-Feb-09,1
6-Mar-09,1
20-Mar-09,1
20-Mar-09,1
20-Mar-09,1
27-Mar-09,1
10-Apr-09,1
10-Apr-09,1
17-Apr-09,1
17-Apr-09,1
24-Apr-09,1
24-Apr-09,1
24-Apr-09,1
24-Apr-09,1
1-May-09,1
1-May-09,1
1-May-09,1
8-May-09,1
21-May-09,1
22-May-09,1
22-May-09,1
5-Jun-09,1
19-Jun-09,1
19-Jun-09,1
19-Jun-09,1
26-Jun-09,1
26-Jun-09,1
26-Jun-09,1
26-Jun-09,1
26-Jun-09,1
2-Jul-09,1
2-Jul-09,1
2-Jul-09,1
2-Jul-09,1
2-Jul-09,1
2-Jul-09,1
2-Jul-09,1
10-Jul-09,1
17-Jul-09,1
17-Jul-09,1
17-Jul-09,1
17-Jul-09,1
24-Jul-09,1
24-Jul-09,6
31-Jul-09,1
31-Jul-09,1
31-Jul-09,1
31-Jul-09,1
31-Jul-09,1
7-Aug-09,1
7-Aug-09,2
14-Aug-09,1
14-Aug-09,1
14-Aug-09,1
14-Aug-09,2
21-Aug-09,1
21-Aug-09,1
21-Aug-09,1
21-Aug-09,1
28-Aug-09,1
28-Aug-09,1
28-Aug-09,1
4-Sep-09,1
4-Sep-09,1
4-Sep-09,1
4-Sep-09,1
4-Sep-09,1
11-Sep-09,1
11-Sep-09,1
11-Sep-09,1
18-Sep-09,2
25-Sep-09,1
2-Oct-09,1
2-Oct-09,1
2-Oct-09,1
16-Oct-09,1
23-Oct-09,1
23-Oct-09,1
23-Oct-09,1
23-Oct-09,1
23-Oct-09,1
23-Oct-09,2
30-Oct-09,9
6-Nov-09,1
6-Nov-09,1
6-Nov-09,1
6-Nov-09,1
6-Nov-09,1
13-Nov-09,1
13-Nov-09,2
20-Nov-09,1
4-Dec-09,1
4-Dec-09,1
4-Dec-09,1
4-Dec-09,1
4-Dec-09,2
11-Dec-09,1
11-Dec-09,1
11-Dec-09,1
18-Dec-09,1
18-Dec-09,1
18-Dec-09,1
18-Dec-09,1
18-Dec-09,1
18-Dec-09,2
8-Jan-10,1
15-Jan-10,1
15-Jan-10,1
15-Jan-10,1
22-Jan-10,1
22-Jan-10,1
22-Jan-10,1
22-Jan-10,1
22-Jan-10,1
29-Jan-10,1
29-Jan-10,1
29-Jan-10,1
29-Jan-10,1
29-Jan-10,1
29-Jan-10,1
5-Feb-10,1
19-Feb-10,1
19-Feb-10,1
19-Feb-10,1
19-Feb-10,1
26-Feb-10,1
26-Feb-10,1
5-Mar-10,1
5-Mar-10,1
5-Mar-10,2
11-Mar-10,1
12-Mar-10,1
12-Mar-10,1
12-Mar-10,1
19-Mar-10,1
19-Mar-10,1
19-Mar-10,1
19-Mar-10,1
19-Mar-10,1
19-Mar-10,1
19-Mar-10,1
26-Mar-10,1
26-Mar-10,1
26-Mar-10,1
26-Mar-10,1
9-Apr-10,1
16-Apr-10,1
16-Apr-10,1
16-Apr-10,1
16-Apr-10,1
16-Apr-10,1
16-Apr-10,3
23-Apr-10,1
23-Apr-10,1
23-Apr-10,1
23-Apr-10,1
23-Apr-10,1
23-Apr-10,2
30-Apr-10,1
30-Apr-10,1
30-Apr-10,1
30-Apr-10,1
