Bank,State,Bank,Date_Fail
"NextBank, NA",AZ,No Acquirer,7-Feb
New Century Bank,MI,No Acquirer,28-Mar
AmTrade International Bank,GA,No Acquirer,30-Sep
Bank of Alamo,TN,No Acquirer,8-Nov
Dollar Savings Bank,NJ,No Acquirer,14-Feb
MagnetBank,UT,No Acquirer,30-Jan
FirstCity Bank,GA,No Acquirer,20-Mar
Omni National Bank,GA,No Acquirer,27-Mar
New Frontier Bank,CO,No Acquirer,10-Apr
First Bank of Beverly Hills,CA,No Acquirer,24-Apr
"Silverton Bank, NA",GA,No Acquirer,1-May
Community Bank of West Georgia,GA,No Acquirer,26-Jun
Community Bank of Nevada,NV,No Acquirer,14-Aug
Platinum Community Bank,IL,No Acquirer,4-Sep
Citizens State Bank,MI,No Acquirer,18-Dec
RockBridge Commercial Bank,GA,No Acquirer,18-Dec
Barnes Banking Company,UT,No Acquirer,15-Jan
Centennial Bank,UT,No Acquirer,5-Mar
Waterfield Bank,MD,No Acquirer,5-Mar
Advanta Bank Corp.,UT,No Acquirer,19-Mar
Lakeside Community Bank,MI,No Acquirer,16-Apr
Arcola Homestead Savings Bank,IL,No Acquirer,4-Jun
Ideal Federal Savings Bank,MD,No Acquirer,9-Jul
"First Arizona Savings, A FSB",AZ,No Acquirer,22-Oct
Enterprise Banking Company,GA,No Acquirer,21-Jan
FirsTier Bank,CO,No Acquirer,28-Jan
Home Savings of America,MN,No Acquirer,24-Feb
New City Bank,IL,No Acquirer,9-Mar
Bank of the Eastern Shore,MD,No Acquirer,27-Apr
NOVA Bank,PA,No Acquirer,26-Oct
The Community's Bank,CT,No Acquirer,13-Sep
