ST,Acquiring Institution
FL,1st United Bank
FL,1st United Bank
FL,1st United Bank
IL,Advantage National Bank Group
MN,"Alerus Financial, N.A."
SD,"Alerus Financial, N.A."
PA,Allegheny Valley Bank of Pittsburgh
NJ,Alma Bank
AL,AloStar Bank of Commerce
OK,Alva State Bank & Trust Company
TX,American First National Bank
FL,American Momentum Bank
FL,American Momentum Bank
GA,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
FL,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
GA,Ameris Bank
KS,Arvest Bank
OK,BancFirst
PR,Banco Popular de Puerto Rico
PR,Banco Popular de Puerto Rico
FL,Banesco USA
OK,Bank 7
FL,Bank Leumi USA
CO,"Bank Midwest, N.A."
CO,"Bank Midwest, N.A."
MI,Bank of Ann Arbor
MD,Bank of Essex
GA,Bank of Essex
KS,Bank of Kansas
CA,Bank of Marin
NV,Bank of Nevada
SC,Bank of North Carolina
NC,Bank of North Carolina
SC,Bank of North Carolina
GA,Bank of North Georgia
CA,"Bank of Southern California, N.A."
MO,Bank of Sullivan
HI,Bank of the Orient
GA,Bank of the Ozarks
GA,Bank of the Ozarks
GA,Bank of the Ozarks
GA,Bank of the Ozarks
FL,Bank of the Ozarks
SC,Bank of the Ozarks
GA,Bank of the Ozarks
GA,Bank of Upson
MO,BankLiberty
GA,BankSouth
FL,BankUnited
MN,BankVista
IL,Banterra Bank of Marion
IL,"Barrington Bank & Trust Company, National Association"
MD,"Bay Bank, FSB"
MD,"Bay Bank, FSB"
FL,Bay Cities Bank
TX,BBVA Compass
AL,Beal Bank
CA,Beal Bank
IL,Blackhawk Bank & Trust
AL,"Branch Banking & Trust Company, (BB&T)"
GA,"Branch Banking & Trust Company, (BB&T)"
FL,C1 Bank
UT,Cache Valley Bank
UT,Cache Valley Bank
UT,Cache Valley Bank
CA,California Bank & Trust
CA,California Bank & Trust
NC,"Capital Bank, N.A."
PA,"Capital Bank, N.A."
PA,"Capital Bank, N.A."
TN,"CB&S Bank, Inc."
FL,Centennial Bank
FL,Centennial Bank
FL,Centennial Bank
FL,Centennial Bank
FL,Centennial Bank
FL,Centennial Bank
FL,Centennial Bank
CA,Center Bank
FL,"CenterState Bank of Florida, N.A."
FL,"CenterState Bank of Florida, N.A."
FL,"CenterState Bank of Florida, N.A."
FL,"CenterState Bank of Florida, N.A."
FL,"CenterState Bank of Florida, N.A."
FL,"CenterState Bank of Florida, N.A."
MN,Central Bank
MN,Central Bank
FL,Central Bank
MN,Central Bank
MN,Central Bank
MN,Central Bank
WY,Central Bank & Trust
MO,Central Bank of Kansas City
GA,Century Bank of Georgia
NC,"CertusBank, National Association"
GA,"CertusBank, National Association"
GA,"CertusBank, National Association"
GA,"CertusBank, National Association"
SC,"CertusBank, National Association"
NM,Charter Bank
FL,CharterBank
GA,CharterBank
GA,CharterBank
IL,Chicago Community Bank
OR,Citizens Bank
KS,Citizens Bank & Trust
CA,Citizens Business Bank
GA,Citizens South Bank
GA,Citizens South Bank
NV,City National Bank
NV,City National Bank
CA,City National Bank
CA,City National Bank
TN,Clayton Bank and Trust
WA,Columbia State Bank
WA,Columbia State Bank
WA,Columbia State Bank
WA,Columbia State Bank
OR,Columbia State Bank
AZ,Commerce Bank of Arizona
MI,Commercial Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
GA,Community & Southern Bank
MN,"Community Development Bank, FSB"
MO,Community First Bank
TX,Community National Bank
KS,Conway Bank
